True,Short-Term Predicted,Long-Term Predicted
69.57498168945312,69.64568,69.748116
70.57988739013672,71.20157,71.50734
70.6685562133789,69.9768,70.13854
70.27446746826172,69.794586,69.93247
70.39269256591797,69.92579,70.08001
70.34342956542969,69.674675,69.798515
70.72766876220703,69.98523,70.15243
70.79662322998047,70.05926,70.24614
70.64884185791016,69.72186,69.88216
69.9592056274414,69.31365,69.405525
69.47645568847656,69.04651,69.12639
69.13162994384766,68.801956,68.88162
67.98880004882812,68.454506,68.518
68.15628814697266,68.2459,68.335
68.54051208496094,68.12875,68.22573
68.22525024414062,67.91732,68.003296
68.54051208496094,68.033966,68.12624
69.29911041259766,68.41976,68.53875
69.29911041259766,68.63595,68.76616
69.52571105957031,68.32434,68.42141
68.86563110351562,68.55285,68.646355
69.39763641357422,68.76398,68.888626
68.42228698730469,68.358864,68.42159
68.42228698730469,68.459496,68.55859
67.00360107421875,67.75093,67.765335
66.30410766601562,67.26767,67.293655
65.92972564697266,66.57739,66.58385
65.68342590332031,66.223724,66.244415
64.58984375,65.46874,65.450165
64.94451904296875,65.55463,65.575935
64.34355163574219,64.955444,64.939606
64.0479965209961,64.49313,64.472664
64.1465072631836,64.33992,64.316414
64.40267181396484,64.21398,64.186775
62.75737762451172,64.08742,64.02409
62.71796798706055,63.81679,63.77441
62.97412109375,63.61464,63.5857
62.42240905761719,63.079678,63.02354
62.26477813720703,62.988808,62.937187
62.06773376464843,62.5481,62.463352
61.624393463134766,62.282604,62.20145
60.8263816833496,61.787834,61.707973
60.94460678100586,61.34487,61.25179
61.66379928588867,61.689777,61.63888
62.0578842163086,61.93324,61.901833
62.816490173339844,62.504776,62.496838
62.97412109375,62.861084,62.855408
63.427310943603516,63.78642,63.85695
63.59480285644531,62.697323,62.64951
63.4765739440918,62.885967,62.837296
63.61058425903321,62.817265,62.751892
63.18373489379882,62.974976,62.911095
63.05468750000001,63.115993,63.089428
61.75428009033203,62.870834,62.796448
62.45907974243164,62.974113,62.945473
62.07193756103516,62.434715,62.365276
62.14142227172852,62.64311,62.61155
62.44915390014648,62.487926,62.429146
62.18113327026367,63.145866,63.161648
63.37234115600587,63.49129,63.518917
62.657615661621094,62.705036,62.633762
62.09178924560547,62.985653,62.94746
62.93556594848632,63.27317,63.259815
62.38959121704102,62.953514,62.907024
61.99252700805665,62.82411,62.77206
62.09178924560547,63.67284,63.72077
61.923038482666016,61.926937,61.82981
62.379669189453125,61.812122,61.710934
62.11164474487305,61.77089,61.661797
61.99252700805665,61.554794,61.44603
61.57559967041016,61.25222,61.11553
61.80391311645508,61.360855,61.254112
61.38699340820312,61.318005,61.213646
61.29765319824219,61.103123,60.989044
60.364540100097656,60.81506,60.677944
60.39431762695313,60.866776,60.770966
61.257946014404304,61.244514,61.180782
60.62263488769531,61.138638,61.059036
61.198387145996094,61.397823,61.334835
61.58552932739258,61.539513,61.473743
61.3175048828125,61.535736,61.463226
61.79399108886719,61.38629,61.294697
62.25061798095703,61.95693,61.912724
61.96274185180663,61.951164,61.898136
61.32743072509766,61.53587,61.425514
61.07926177978516,61.313377,61.200157
61.46640396118163,61.52136,61.454338
63.402122497558594,63.22717,63.297176
61.90318298339844,62.53361,62.450806
62.36974334716796,62.8871,62.827686
63.580806732177734,63.76337,63.772743
63.01498031616211,63.301647,63.243313
62.88592910766602,63.350704,63.273884
62.21091079711914,63.401997,63.322876
62.657615661621094,62.92683,62.858105
62.89585876464844,62.85274,62.811626
63.37234115600587,63.06229,63.03547
64.07714080810547,63.46155,63.46576
67.10479736328125,66.81824,67.0906
68.2066650390625,66.98963,67.16338
68.99088287353516,67.79948,67.97952
68.36549377441406,68.13618,68.234566
68.54418182373047,68.205696,68.27982
69.55670166015625,68.87296,69.0125
69.52692413330078,68.93579,69.05079
70.82732391357422,69.50894,69.71848
70.07289123535156,69.492905,69.63869
70.96630096435547,70.10189,70.304146
70.28135681152344,69.6792,69.795494
70.35084533691406,69.936226,70.08995
70.6883544921875,70.2944,70.49011
71.79022216796875,70.62487,70.84003
69.67582702636719,70.59322,70.75407
69.56663513183594,70.426476,70.586876
69.94384765625,70.258835,70.43095
70.90673828125,70.744675,70.99528
70.92658996582031,71.07411,71.34439
70.51959991455078,71.01934,71.25135
69.42765808105469,70.05903,70.17259
69.11000061035156,69.401886,69.51207
69.16000366210938,69.06116,69.16468
70.12000274658203,69.61595,69.801346
69.37999725341797,69.15031,69.27622
69.27999877929688,69.03888,69.144714
69.70999908447266,69.39883,69.547516
68.66999816894531,70.00176,70.233315
68.94999694824219,68.82185,68.930435
68.80999755859375,68.70407,68.80731
70.0199966430664,69.3362,69.5214
70.73999786376953,69.61721,69.80631
70.37000274658203,69.82764,69.99957
71.62000274658203,70.88905,71.145256
71.87000274658203,70.54098,70.73883
71.33000183105469,70.65252,70.829285
73.18000030517578,72.221344,72.55383
69.93000030517578,71.68352,71.84275
68.37000274658203,70.71802,70.78704
68.41999816894531,70.652306,70.80628
69.94999694824219,70.882675,71.13897
70.76000213623047,71.13503,71.4115
71.43000030517578,71.62044,71.90135
72.44999694824219,71.86475,72.121925
71.86000061035156,71.36069,71.566
71.68000030517578,71.17604,71.37122
73.0,71.944725,72.219055
