True Values,Predicted Values
71.03307342529297,69.03420066186187
70.73751831054688,68.91891316555474
70.6882553100586,68.79910740472846
69.57498168945312,68.6038512286275
70.57988739013672,68.53754420004643
70.6685562133789,68.0579184227765
70.27446746826172,67.87199191649911
70.39269256591797,67.69521821707974
70.34342956542969,67.45849492616993
70.72766876220703,67.36781503564097
70.79662322998047,66.92916221969341
70.64884185791016,66.7970670253251
69.9592056274414,66.69435360839887
69.47645568847656,66.55142256962937
69.13162994384766,66.57338194955524
67.98880004882812,66.57138255495093
68.15628814697266,66.61132486578506
68.54051208496094,66.6899895511462
68.22525024414062,66.73512025376905
68.54051208496094,66.9490338041852
69.29911041259766,67.51758898752077
69.29911041259766,67.73657530162343
69.52571105957031,67.98433220310915
68.86563110351562,68.18627764136912
69.39763641357422,68.54267678532544
68.42228698730469,69.43716046997258
68.42228698730469,69.72762554104506
67.00360107421875,70.02761236442784
66.30410766601562,70.26274565853335
65.92972564697266,70.63389073512087
65.68342590332031,71.47336673900443
64.58984375,71.71777369555122
64.94451904296875,71.9611441908361
64.34355163574219,72.131349080086
64.0479965209961,72.43159565100333
64.1465072631836,73.04614878015794
64.40267181396484,73.21901387772688
62.75737762451172,73.3959405031419
62.71796798706055,73.50650140005736
62.97412109375,73.75532998326186
62.42240905761719,74.27451672243828
62.26477813720703,74.43670745163269
62.06773376464844,74.61339905785798
61.624393463134766,74.73359453300827
60.82638168334961,75.00105295830112
60.94460678100586,75.6174860404147
61.66379928588867,75.82067431855975
62.057884216308594,76.03972188959351
62.816490173339844,76.20178325026174
62.97412109375,76.50878500645051
63.427310943603516,77.21291793168076
63.59480285644531,77.4301396347889
63.4765739440918,77.65370597579147
63.6105842590332,78.10049886747963
63.18373489379883,78.69033917349466
63.0546875,78.84927523525455
61.75428009033203,79.00585129154848
62.45907974243164,79.08765532630322
62.071937561035156,79.29753087321518
62.141422271728516,79.62478592780363
62.449153900146484,79.69495554839321
62.18113327026367,79.76499241832916
63.37234115600586,79.76409652377075
62.657615661621094,79.89659614413111
62.09178924560547,80.03579615092815
62.93556594848633,80.06089188706535
62.389591217041016,80.0954827220622
61.99252700805664,80.06885454290617
62.09178924560547,80.18514817058619
61.923038482666016,80.32716250270288
62.379669189453125,80.36729932539113
62.11164474487305,80.41916569193742
61.99252700805664,80.5614721716623
61.575599670410156,80.7800657866436
61.80391311645508,80.84057493645275
61.386993408203125,80.91829382574495
61.29765319824219,81.06430729312004
60.364540100097656,81.25126221842002
60.394317626953125,81.2867815377823
61.2579460144043,81.3255408736423
60.62263488769531,81.39830822426497
61.198387145996094,81.4373806528076
61.58552932739258,81.42153059994533
61.3175048828125,81.41023309821924
61.79399108886719,81.33248288550901
62.25061798095703,81.39241271671933
61.96274185180664,81.30608016037459
61.327430725097656,81.28736894709672
61.079261779785156,81.211064679821
61.46640396118164,81.28130178966518
63.402122497558594,81.30713497921622
61.90318298339844,81.31603416356036
62.36974334716797,81.34333250384013
63.580806732177734,81.3169707007699
63.01498031616211,81.43965194396752
62.885929107666016,81.62258264514303
62.21091079711914,81.67868755658344
62.657615661621094,81.74822672068515
62.89585876464844,81.75789306919114
63.37234115600586,81.90931799373163
64.07714080810547,82.12733272046428
67.10479736328125,82.17684989867801
68.2066650390625,82.2307105693645
68.99088287353516,82.21604315706155
68.36549377441406,82.33517346645965
68.54418182373047,82.41566274112519
69.55670166015625,82.41526135819096
69.52692413330078,82.34651140465327
70.82732391357422,82.41340221059653
70.07289123535156,82.36736788731832
70.96630096435547,82.33451162614746
70.28135681152344,82.31329602826085
70.35084533691406,82.23332004049384
70.6883544921875,82.29913403292653
71.79022216796875,82.31214256201305
69.67582702636719,82.31873777473079
69.56663513183594,82.34566168938066
69.94384765625,82.32140665857598
70.90673828125,82.44919399128456
70.92658996582031,82.66977436308399
70.51959991455078,82.74693209501898
69.42765808105469,82.84206771775688
69.11000061035156,82.88188645843314
69.16000366210938,83.06791445945511
70.12000274658203,83.41359791506929
69.37999725341797,83.51209896598971
69.27999877929688,83.61713079453449
69.70999908447266,83.65507117029907
68.66999816894531,83.82742632586246
68.94999694824219,84.06573225457444
68.80999755859375,84.10924784014176
70.0199966430664,84.15181442090768
70.73999786376953,84.12140688365491
70.37000274658203,84.22129218586346
71.62000274658203,84.23654887148446
71.87000274658203,84.21034767878456
71.33000183105469,84.18866825151908
73.18000030517578,84.10121345820396
69.93000030517578,84.15280451882326
68.37000274658203,84.08782968901484
68.41999816894531,84.05913123866115
69.94999694824219,84.04767860098451
70.76000213623047,83.98306418117039
71.43000030517578,84.06968468231022
72.44999694824219,84.17425126222052
71.86000061035156,84.219338349642
71.68000030517578,84.28765155227413
73.0,84.30694156565613
